Request Date,Cumulative Date Start,Pages Printed in Last 24 Hours,Total Pages Printed Since Cumulative Date,Total Users,Average Pages Printed Per User,Total Pages to Date
"July 04, 2019 ",06/22/2019,4919,46228,50333,0.92,18984330
"June 27, 2019 ",06/22/2019,6140,8,50291,0.45,18960710
"June 02, 2019 ",04/01/2019,9,75706,50136,15.07,18732536
"June 21, 2019 ",04/01/2019,184,6258,50260,19.11,18938056
"May 10, 2019 ",04/01/2019,14958,5155,49900,10.31,18490991
"May 02, 2019 ",04/01/2019,21319,8117,49796,8.19,18383589
"April 11, 2019 ",04/01/2019,18567,3528,49474,2.74,18110761
"November 02, 2018 ",09/26/2018,14566,53855,47067,11.45,16501706
"November 06, 2018 ",09/26/2018,23264,573084,47167,12.16,16536234
"January 14, 2019 ",01/06/2019,1346,584,48177,1.98,17113141
"September 21, 2018 ",06/23/2018,259,94,43788,7.57,15957294
"November 18, 2018 ",09/26/2018,0,7,47473,14.76,16664068
"March 21, 2019 ",01/06/2019,17976,3,49324,20.12,17952882
"April 05, 2018 ",04/01/2018,20721,675,42199,1.6,14646273
"March 22, 2019 ",01/06/2019,13600,448,49333,20.39,17966482
"April 18, 2018 ",04/01/2018,21281,35665,42380,5.55,14814416
"March 03, 2019 ",01/06/2019,0,864,49041,14.08,17650315
"March 26, 2019 ",01/06/2019,206,5198,49334,20.53,17973646
"October 10, 2018 ",09/26/2018,23310,5,45496,4.24,16154255
"May 12, 2018 ",04/01/2018,9508,579,42699,13.54,15157799
"May 20, 2019 ",04/01/2019,510,6076,49985,12.13,18583086
"December 13, 2017 ",09/24/2017,1449,3,40797,23.82,13527606
"July 18, 2019 ",06/22/2019,4181,8,50385,1.77,19027301
"July 22, 2018 ",06/23/2018,0,5,43183,2.29,15724205
"November 07, 2017 ",09/24/2017,23215,58,40089,14.48,13135909
"February 18, 2018 ",01/08/2018,0,539729,41683,12.91,14078216
"April 15, 2019 ",04/01/2019,1542,58695,49502,3.21,18134167
"September 25, 2017 ",09/24/2017,0,,36779,0,12553705
"September 25, 2017 ",06/24/2017,0,325635,36779,0,12553705
"September 25, 2017 ",06/24/2017,0,325635,36778,8.83,12553705
"June 01, 2019 ",04/01/2019,10221,757055,50134,15.07,18732527
"October 09, 2017 ",09/24/2017,1247,5513,38270,3.79,12699218
"August 11, 2018 ",06/23/2018,1795,925,43385,4.41,15816783
"June 23, 2018 ",04/01/2018,15,5449,43025,24.24,15624200
"July 09, 2019 ",06/22/2019,6505,54074,50343,1.07,18992176
"November 26, 2017 ",09/24/2017,0,6598,40475,18.88,13319689
"September 27, 2017 ",09/24/2017,737,3,36787,0.02,12554442
"November 18, 2017 ",09/24/2017,8917,8,40400,17.98,13281854
"December 20, 2018 ",09/26/2018,7,53914,48053,21.91,17017064
"July 01, 2019 ",06/22/2019,321,478,50307,0.59,18967580
"April 12, 2018 ",04/01/2018,18541,6207,42299,3.83,14740829
"June 30, 2018 ",06/23/2018,1815,9,43083,0.72,15656182
"March 31, 2019 ",01/06/2019,0,5237,49334,20.54,17974042
"November 17, 2018 ",09/26/2018,9103,7,47473,14.76,16664068
"January 16, 2018 ",01/08/2018,605,526,40850,0.62,13563748
"March 18, 2019 ",01/06/2019,6281,86964,49276,18.89,17891315
"October 15, 2018 ",09/26/2018,669,47,45836,5.44,16211018
"May 17, 2018 ",04/01/2018,21634,6415,42749,14.97,15220275
"October 01, 2017 ",09/24/2017,0,366,37309,0.98,12590375
"June 18, 2019 ",04/01/2019,40,6227,50260,19.11,18937751
"February 25, 2018 ",01/08/2018,0,61644,41770,14.72,14154935
"October 11, 2018 ",09/26/2018,21963,3,45629,4.71,16176218
"September 29, 2017 ",09/24/2017,19169,8,37179,0.57,12575113
"January 04, 2019 ",09/26/2018,37,54,48053,21.91,17017266
"February 19, 2018 ",01/08/2018,455,540184,41683,12.93,14078671
"December 04, 2018 ",09/26/2018,27894,333,47819,17.98,16823483
"November 04, 2018 ",09/26/2018,0,548465,47097,11.66,16511615
"March 08, 2018 ",01/08/2018,23025,774167,41927,18.42,14312654
"January 16, 2019 ",01/06/2019,16802,385,48250,2.86,17155809
"January 21, 2018 ",01/08/2018,7,9154,40992,2.9,13657641
"October 09, 2018 ",09/26/2018,28290,7795,45350,3.74,16130945
"March 08, 2019 ",01/06/2019,18825,715667,49137,15.82,17737333
"March 24, 2018 ",01/08/2018,8289,40137,42152,24.61,14578624
"July 19, 2018 ",06/23/2018,4799,949,43180,2.17,15719126
"August 22, 2018 ",06/23/2018,6240,9,43574,5.41,15861186
"May 10, 2018 ",04/01/2018,22826,551516,42670,12.9,15130267
"July 23, 2018 ",06/23/2018,145,5,43183,2.29,15724350
"March 27, 2018 ",01/08/2018,25,4016,42152,24.62,14578649
"May 23, 2019 ",04/01/2019,16380,660208,50036,13.17,18635680
"November 13, 2018 ",09/26/2018,690,37,47314,13.48,16600849
"February 22, 2019 ",01/06/2019,16246,5277,48912,12.06,17549465
"August 26, 2018 ",06/23/2018,0,5045,43616,5.71,15874653
"April 08, 2019 ",04/01/2019,1242,767,49396,1.56,18052194
"October 19, 2017 ",09/24/2017,24303,332178,39321,8.41,12885883
"November 01, 2018 ",09/26/2018,18368,523,47009,11.16,16487140
"April 09, 2019 ",04/01/2019,22435,5,49427,2.01,18074631
"December 21, 2017 ",09/24/2017,0,3,40799,23.87,13527606
"July 11, 2019 ",06/22/2019,6628,7,50360,1.33,19005201
"April 08, 2018 ",04/01/2018,45,93943,42220,2.22,14672694
"November 24, 2018 ",09/26/2018,0,74154,47580,15.58,16704698
"June 24, 2018 ",04/01/2018,0,5449,43025,24.24,15624200
"August 09, 2018 ",06/23/2018,8101,5269,43316,4.25,15809469
"September 23, 2018 ",06/23/2018,0,4,43791,7.57,15957524
"December 12, 2018 ",09/26/2018,21602,54,48013,21.15,16979404
"April 13, 2019 ",04/01/2019,9047,57097,49501,3.17,18132569
"January 27, 2019 ",01/06/2019,0,77124,48504,5.69,17294424
"January 17, 2019 ",01/06/2019,19274,577,48289,3.26,17175090
"June 07, 2018 ",04/01/2018,26449,9735,42959,20.84,15476109
"June 16, 2018 ",04/01/2018,6716,5077,43024,24.24,15623828
"March 04, 2019 ",01/06/2019,1218,867,49042,14.1,17651533
"September 05, 2018 ",06/23/2018,7695,7,43686,6.42,15906370
"March 03, 2018 ",01/08/2018,11842,70689,41871,16.84,14245379
"February 11, 2018 ",01/08/2018,0,44213,41562,10.61,13980617
"January 17, 2018 ",01/08/2018,29897,5515,40894,1.34,13593645
"May 05, 2018 ",04/01/2018,10407,78883,42606,11.22,15057634
"January 04, 2018 ",09/24/2017,0,3,40800,23.88,13527606
"September 17, 2018 ",06/23/2018,0,4,43774,7.55,15956610
"October 12, 2017 ",09/24/2017,22536,8816,38790,5.61,12772521
"May 25, 2018 ",04/01/2018,15619,742707,42835,17.3,15321458
"June 01, 2018 ",04/01/2018,19235,36,42901,18.92,15392391
"November 05, 2017 ",09/24/2017,2,55815,40027,13.9,13111859
"June 07, 2019 ",04/01/2019,26675,856256,50207,17.02,18831728
"October 06, 2018 ",09/26/2018,11643,3,45158,3.1,16101378
"March 18, 2018 ",01/08/2018,211,945,42104,22.41,14484307
"December 05, 2017 ",09/24/2017,27544,8896,40676,21.82,13443346
"March 20, 2019 ",01/06/2019,19414,3,49309,19.76,17934887
"January 26, 2019 ",01/06/2019,14956,77124,48504,5.69,17294424
"August 31, 2018 ",06/23/2018,3901,724,43668,6.2,15896630
"February 27, 2019 ",01/06/2019,19627,581625,48978,13.14,17603291
"November 16, 2017 ",09/24/2017,19358,515,40335,17.37,13256220
"November 09, 2018 ",09/26/2018,16561,4,47296,13.31,16592576
"September 30, 2017 ",09/24/2017,15236,366,37308,0.98,12590375
"May 04, 2019 ",04/01/2019,8787,3317,49826,8.68,18408651
"August 14, 2018 ",06/23/2018,9091,4,43419,4.62,15826243
"February 21, 2019 ",01/06/2019,20856,511543,48894,11.73,17533209
"May 22, 2018 ",04/01/2018,18925,6846,42792,15.96,15263369
"December 24, 2018 ",09/26/2018,0,53,48053,21.91,17017111
"December 11, 2018 ",09/26/2018,24804,465,47996,20.7,16957802
"March 20, 2018 ",01/08/2018,29873,979344,42114,23.2,14517831
"March 11, 2019 ",01/06/2019,1350,7303,49151,16.11,17752057
"December 15, 2018 ",09/26/2018,6802,53737,48053,21.91,17016887
"December 16, 2017 ",09/24/2017,0,3,40798,23.87,13527606
"March 21, 2018 ",01/08/2018,24304,364,42130,23.77,14542135
"October 16, 2018 ",09/26/2018,25530,734,45991,5.97,16236558
"April 04, 2018 ",04/01/2018,24320,6796,42174,1.11,14625547
"September 12, 2018 ",06/23/2018,6773,9,43740,7.12,15937181
"March 25, 2019 ",01/06/2019,0,51774,49334,20.53,17973440
"May 02, 2018 ",04/01/2018,20417,9299,42559,10.07,15008050
"May 07, 2018 ",04/01/2018,1276,6,42606,11.25,15058913
"May 09, 2019 ",04/01/2019,20625,500533,49892,10.01,18476005
"January 12, 2018 ",01/08/2018,5225,585,40836,0.53,13560072
"November 30, 2018 ",09/26/2018,18619,4,47737,17.13,16781298
"November 12, 2017 ",09/24/2017,0,639438,40217,15.85,13193143
"January 22, 2019 ",01/06/2019,693,84878,48344,3.81,17202178
"April 22, 2019 ",04/01/2019,2546,5457,49616,5.13,18230043
"March 30, 2018 ",01/08/2018,77,40264,42152,24.62,14578751
"September 14, 2018 ",06/23/2018,7601,79,43765,7.45,15952182
"March 06, 2018 ",01/08/2018,21348,729357,41883,17.37,14267844
"December 16, 2018 ",09/26/2018,0,53737,48053,21.91,17016887
"November 14, 2018 ",09/26/2018,20887,585,47362,13.91,16621736
"October 08, 2017 ",09/24/2017,0,66,38262,3.75,12697971
"December 30, 2017 ",09/24/2017,0,3,40799,23.88,13527606
"January 28, 2019 ",01/06/2019,1894,79018,48506,5.73,17296318
"June 12, 2019 ",04/01/2019,19847,843,50236,18.33,18898315
"February 14, 2019 ",01/06/2019,0,44,48818,10.48,17458490
"June 17, 2019 ",04/01/2019,0,6223,50259,19.11,18937711
"April 26, 2018 ",04/01/2018,22196,357755,42493,8.41,14936506
"May 15, 2019 ",04/01/2019,19597,565247,49943,11.29,18540719
"November 14, 2017 ",09/24/2017,23919,66,40262,16.45,13217904
"July 27, 2018 ",06/23/2018,4347,7,43202,2.8,15746373
"January 02, 2018 ",09/24/2017,0,3,40799,23.88,13527606
"September 02, 2018 ",06/23/2018,0,74435,43673,6.25,15898635
"March 05, 2019 ",01/06/2019,22284,52153,49070,14.55,17673819
"July 30, 2018 ",06/23/2018,135,5,43207,2.87,15749236
"February 28, 2019 ",01/06/2019,17098,598724,49007,13.48,17620390
"November 26, 2018 ",09/26/2018,19,741567,47580,15.58,16704717
"November 19, 2018 ",09/26/2018,1047,701965,47477,14.78,16665115
"February 08, 2018 ",01/08/2018,24444,40847,41522,9.81,13946959
"August 28, 2018 ",06/23/2018,6802,57515,43635,5.87,15881715
"October 17, 2017 ",09/24/2017,25716,8,39104,7.24,12838179
"June 25, 2019 ",06/22/2019,8073,8,50272,0.16,18946193
"February 24, 2019 ",01/06/2019,0,539128,48927,12.29,17560794
"October 24, 2017 ",09/24/2017,27781,39506,39507,9.97,12948769
"March 30, 2019 ",01/06/2019,0,5237,49334,20.54,17974042
"June 27, 2018 ",06/23/2018,11374,99,43056,0.45,15644399
"January 03, 2019 ",09/26/2018,118,5407,48053,21.91,17017229
"April 18, 2019 ",04/01/2019,23231,5405,49584,4.54,18200877
"April 30, 2019 ",04/01/2019,22725,364453,49756,7.31,18339925
"September 16, 2018 ",06/23/2018,0,4,43774,7.55,15956610
"September 26, 2018 ",06/23/2018,2489,7354,43844,0.02,15961554
"December 14, 2017 ",09/24/2017,0,3,40797,23.85,13527606
"January 29, 2019 ",01/06/2019,25361,30437,48550,6.25,17321679
"March 25, 2018 ",01/08/2018,0,40137,42152,24.61,14578624
"November 19, 2017 ",09/24/2017,11,816,40400,17.98,13281865
"July 05, 2018 ",06/23/2018,0,4399,43111,1,15668193
"January 30, 2018 ",01/08/2018,26873,55736,41258,6.18,13794223
"December 28, 2017 ",09/24/2017,0,3,40799,23.88,13527606
"December 27, 2017 ",09/24/2017,0,3,40799,23.88,13527606
"June 22, 2019 ",06/22/2019,46,,50260,0,18938102
"June 19, 2018 ",04/01/2018,134,5,43024,24.24,15623962
"April 21, 2018 ",04/01/2018,8926,91097,42440,6.85,14869848
"July 09, 2018 ",06/23/2018,384,50524,43126,1.15,15674724
"August 08, 2018 ",06/23/2018,8026,77,43280,4.06,15801368
"February 20, 2019 ",01/06/2019,21217,490687,48861,11.32,17512353
"January 18, 2019 ",01/06/2019,16981,7477,48327,3.6,17192071
"December 07, 2017 ",09/24/2017,28075,3365,40768,23.08,13497070
"November 11, 2017 ",09/24/2017,458,639438,40217,15.85,13193143
"January 20, 2019 ",01/06/2019,0,83645,48341,3.78,17200945
"August 05, 2018 ",06/23/2018,0,589,43234,3.65,15783160
"May 24, 2019 ",04/01/2019,16199,676428,50049,13.49,18651900
"April 13, 2018 ",04/01/2018,16260,78375,42321,4.21,14757126
"August 06, 2018 ",06/23/2018,80,5904,43234,3.65,15783240
"November 21, 2018 ",09/26/2018,11501,738205,47572,15.51,16701355
"December 28, 2018 ",09/26/2018,0,53,48053,21.91,17017111
"February 10, 2018 ",01/08/2018,14017,44213,41561,10.61,13980617
"February 12, 2018 ",01/08/2018,1438,44356,41562,10.64,13982055
"April 20, 2018 ",04/01/2018,23672,7,42431,6.64,14860922
"February 21, 2018 ",01/08/2018,26582,56743,41711,13.57,14105918
"February 06, 2019 ",01/06/2019,20599,413,48703,8.46,17430429
"April 25, 2019 ",04/01/2019,12217,309783,49698,6.23,18285255
"November 15, 2017 ",09/24/2017,18898,683,40292,16.91,13236847
"June 18, 2018 ",04/01/2018,0,5077,43024,24.24,15623828
"October 14, 2018 ",09/26/2018,5,47,45833,5.42,16210349
"December 06, 2017 ",09/24/2017,25584,526,40717,22.42,13468966
"May 12, 2019 ",04/01/2019,0,525175,49908,10.5,18500647
"August 03, 2018 ",06/23/2018,6081,56074,43231,3.58,15780274
"August 02, 2018 ",06/23/2018,8578,4999,43224,3.44,15774193
"April 29, 2018 ",04/01/2018,0,385666,42524,9.05,14964417
"May 07, 2019 ",04/01/2019,23359,58576,49858,9.18,18434048
"April 14, 2019 ",04/01/2019,56,57153,49501,3.18,18132625
"June 26, 2019 ",06/22/2019,8377,468,50283,0.33,18954570
"October 28, 2017 ",09/24/2017,11387,5,39780,11.81,13025110
"April 06, 2018 ",04/01/2018,16652,,42213,1.99,14662935
"April 04, 2019 ",04/01/2019,18581,5265,49373,1.07,18028131
"December 08, 2018 ",09/26/2018,21428,5,47972,20.12,16929148
"March 29, 2018 ",01/08/2018,3,40187,42152,24.62,14578674
"January 22, 2018 ",01/08/2018,791,9945,40993,2.92,13658432
"June 06, 2018 ",04/01/2018,22380,709,42940,20.24,15449652
"January 26, 2018 ",01/08/2018,19462,7789,41204,5.27,13756276
"February 06, 2018 ",01/08/2018,25445,35874,41456,8.63,13897228
"November 17, 2017 ",09/24/2017,16684,3,40377,17.76,13272937
"January 08, 2018 ",09/24/2017,0,3,40801,23.9,13527606
"January 10, 2018 ",01/08/2018,9396,377,40818,0.25,13548864
"August 24, 2018 ",06/23/2018,4830,4829,43599,5.66,15872490
"January 08, 2019 ",01/06/2019,21270,3,48072,0.44,17038691
"September 18, 2018 ",06/23/2018,156,5,43776,7.56,15956766
"April 03, 2019 ",04/01/2019,18841,34078,49357,0.7,18009550
"April 15, 2018 ",04/01/2018,0,75,42330,4.42,14766251
"August 10, 2018 ",06/23/2018,5519,907,43349,4.37,15814988
"October 23, 2017 ",09/24/2017,838,3673,39447,9.27,12921006
"April 17, 2018 ",04/01/2018,25780,3,42351,5.06,14793135
"August 21, 2018 ",06/23/2018,8010,74,43565,5.26,15854946
"October 05, 2017 ",09/24/2017,21286,3666,38002,2.98,12667371
"March 23, 2018 ",01/08/2018,13780,3183,42150,24.42,14570325
"June 19, 2019 ",04/01/2019,50,623,50260,19.11,18937801
"October 12, 2018 ",09/26/2018,19529,32597,45760,5.11,16195747
"October 13, 2018 ",09/26/2018,14597,47194,45833,5.42,16210344
"November 27, 2018 ",09/26/2018,19188,760755,47610,15.97,16723905
"July 15, 2019 ",06/22/2019,194,73304,50373,1.45,19011406
"September 25, 2018 ",06/23/2018,1511,4865,43808,7.6,15959065
"July 14, 2019 ",06/22/2019,0,73,50373,1.45,19011212
"May 27, 2018 ",04/01/2018,0,751263,42843,17.49,15330014
"June 26, 2018 ",06/23/2018,8819,5,43038,0.19,15633025
"September 11, 2018 ",06/23/2018,9072,,43729,6.96,15930408
"November 24, 2017 ",09/24/2017,0,6598,40475,18.88,13319689
"May 15, 2018 ",04/01/2018,22122,601995,42720,14.06,15180746
"September 03, 2018 ",06/23/2018,31,744,43673,6.25,15898666
"December 26, 2017 ",09/24/2017,0,3,40799,23.88,13527606
"March 24, 2019 ",01/06/2019,0,51774,49334,20.53,17973440
"July 25, 2018 ",06/23/2018,6027,55,43193,2.56,15735855
"January 11, 2018 ",01/08/2018,5969,6349,40826,0.4,13554836
"December 09, 2017 ",09/24/2017,8909,68,40790,23.69,13522484
"December 25, 2018 ",09/26/2018,0,53,48053,21.91,17017111
"March 09, 2019 ",01/06/2019,13370,72904,49151,16.09,17750707
"February 05, 2019 ",01/06/2019,18774,392425,48672,8.04,17409725
"January 25, 2018 ",01/08/2018,22618,98287,41163,4.81,13736774
"April 24, 2019 ",04/01/2019,19788,75,49683,5.98,18273021
"May 19, 2019 ",04/01/2019,282,607103,49985,12.12,18582575
"March 26, 2018 ",01/08/2018,0,40137,42152,24.61,14578624
"December 19, 2017 ",09/24/2017,0,3,40799,23.87,13527606
"December 22, 2017 ",09/24/2017,0,3,40799,23.87,13527606
"January 06, 2018 ",09/24/2017,0,3,40801,23.89,13527606
"January 09, 2018 ",01/08/2018,8249,9,40812,0.02,13539468
"October 20, 2018 ",09/26/2018,9970,35683,46410,7.71,16319982
"October 11, 2017 ",09/24/2017,23415,6255,38639,5.06,12749960
"June 03, 2018 ",04/01/2018,0,647,42907,19.18,15403398
"September 08, 2018 ",06/23/2018,3503,96944,43719,6.75,15921144
"March 31, 2018 ",01/08/2018,0,40264,42152,24.62,14578751
"November 06, 2017 ",09/24/2017,661,558815,40027,13.92,13112520
"January 05, 2018 ",09/24/2017,0,3,40800,23.88,13527606
"April 11, 2018 ",04/01/2018,25264,3535,42282,3.39,14722286
"June 14, 2018 ",04/01/2018,23399,36,43014,23.74,15602369
"October 02, 2018 ",09/26/2018,31483,367,44558,1.48,16026820
"September 24, 2018 ",06/23/2018,30,54,43791,7.57,15957554
"November 08, 2018 ",09/26/2018,18912,5,47253,12.98,16576015
"July 08, 2019 ",06/22/2019,349,47565,50334,0.94,18985667
"May 29, 2019 ",04/01/2019,22241,708477,50077,14.12,18683949
"November 29, 2018 ",09/26/2018,18810,7995,47698,16.75,16762679
"July 31, 2018 ",06/23/2018,8549,585,43215,3.06,15757785
"July 13, 2019 ",06/22/2019,1507,73,50373,1.45,19011212
"October 06, 2017 ",09/24/2017,18987,32653,38155,3.46,12686358
"May 14, 2019 ",04/01/2019,19234,5456,49920,10.91,18521114
"June 29, 2019 ",06/22/2019,1498,57,50306,0.58,18967259
"June 11, 2018 ",04/01/2018,3109,953895,42983,22.14,15532646
"January 02, 2019 ",09/26/2018,0,53,48053,21.91,17017111
"October 27, 2018 ",09/26/2018,9954,458587,46825,9.81,16421737
"January 11, 2019 ",01/06/2019,18576,84188,48160,1.74,17101488
"July 06, 2019 ",06/22/2019,986,47214,50334,0.94,18985316
"September 09, 2018 ",06/23/2018,0,96944,43719,6.75,15921144
"February 17, 2019 ",01/06/2019,0,44,48842,10.87,17458490
"February 13, 2018 ",01/08/2018,26164,46973,41602,11.26,14008219
"August 13, 2018 ",06/23/2018,369,9295,43391,4.42,15817152
"March 07, 2018 ",01/08/2018,21634,751043,41901,17.88,14289530
"October 26, 2018 ",09/26/2018,19104,448633,46778,9.61,16411783
"May 16, 2018 ",04/01/2018,17890,61989,42734,14.48,15198641
"March 01, 2018 ",01/08/2018,21471,679584,41834,16.2,14218071
"February 22, 2018 ",01/08/2018,22135,58956,41747,14.08,14128055
"April 23, 2018 ",04/01/2018,1074,9217,42440,6.87,14870922
"March 12, 2018 ",01/08/2018,1448,39,41978,19.25,14348626
"October 30, 2017 ",09/24/2017,730,35,39780,11.83,13025840
"May 28, 2018 ",04/01/2018,597,75186,42843,17.51,15330611
"February 26, 2019 ",01/06/2019,21167,56198,48952,12.75,17583647
"February 25, 2019 ",01/06/2019,1685,540813,48927,12.32,17562479
"October 13, 2017 ",09/24/2017,20185,3,38907,6.12,12792707
"September 07, 2018 ",06/23/2018,5427,9344,43708,6.68,15917641
"May 31, 2018 ",04/01/2018,20030,7943,42884,18.48,15373139
"December 22, 2018 ",09/26/2018,36,53,48053,21.91,17017111
"May 13, 2018 ",04/01/2018,0,579,42699,13.54,15157799
"December 14, 2018 ",09/26/2018,14528,46935,48046,21.77,17010085
"August 12, 2018 ",06/23/2018,0,925,43385,4.41,15816783
"July 02, 2019 ",06/22/2019,6750,36228,50315,0.72,18974330
"January 14, 2018 ",01/08/2018,5,4656,40848,0.6,13563143
"July 28, 2018 ",06/23/2018,2728,49,43207,2.86,15749101
"May 06, 2018 ",04/01/2018,3,78886,42606,11.22,15057637
"October 25, 2017 ",09/24/2017,22551,,39593,10.52,12971626
"September 22, 2018 ",06/23/2018,230,4,43790,7.57,15957524
"November 03, 2017 ",09/24/2017,14683,5486,39983,13.68,13102345
"June 06, 2019 ",04/01/2019,23752,82958,50192,16.5,18805053
"July 16, 2019 ",06/22/2019,6772,80078,50378,1.59,19018180
"June 10, 2018 ",04/01/2018,0,950786,42981,22.07,15529537
"July 13, 2018 ",06/23/2018,4172,75,43156,1.72,15699583
"May 21, 2018 ",04/01/2018,704,66569,42778,15.53,15244442
"November 15, 2018 ",09/26/2018,18158,76744,47406,14.28,16639894
"August 15, 2018 ",06/23/2018,6755,79,43449,4.77,15832998
"December 24, 2017 ",09/24/2017,0,3,40799,23.88,13527606
"April 16, 2019 ",04/01/2019,21922,80617,49523,3.65,18156089
"May 22, 2019 ",04/01/2019,18182,643828,50017,12.85,18619300
"March 27, 2019 ",01/06/2019,195,52175,49334,20.54,17973841
"June 16, 2019 ",04/01/2019,0,6223,50259,19.11,18937711
